GST_ID_NO,Weight,GST_Cereal,GST_Other,GST_Total
413751203,469,7,624,631
413751204,469,42,4995,5038
413751301,1019,10,1212,1222
413751302,1019,10,714,725
413761101,67,41,4178,4219
413761102,67,36,4510,4546
413761201,266,24,3374,3398
413761202,266,21,1192,1213
413761203,266,34,3897,3931
413761204,266,12,2595,2606
413761301,202,5,1037,1042
413761302,202,35,4623,4659
413771101,1846,32,6443,6475
413771102,1846,41,13665,13706
413771103,1846,14,2016,2030
413771104,1846,28,6916,6943
413771201,468,42,5203,5245
413771202,468,30,11313,11343
413771203,468,31,8353,8384
413771204,468,65,6309,6373
413781101,63,26,7943,7969
413781102,63,22,2208,2229
413781201,333,10,1722,1733
413781202,333,27,6226,6254
413781203,333,17,1784,1801
413781204,333,27,5730,5757
413781301,1161,,267,0
413781302,1161,,292,0
413791101,136,45,8385,8430
413791102,136,42,6204,6246
413791201,1008,35,4288,4323
413791202,1008,22,2170,2192
413791203,1008,27,3271,3297
413791204,1008,44,3802,3846
413791301,422,15,1108,1123
413791302,422,22,1335,1357
413901101,1185,13,1590,1603
413901102,1185,25,12473,12497
413901201,514,12,1261,1273
413901202,514,25,2599,2624
413901203,514,14,1466,1480
413901204,514,26,7349,7375
413901301,118,36,3041,3077
413901302,118,54,2143,2197
413911101,702,96,17805,17901
413911102,702,9,2665,2674
413911201,1989,21,3645,3666
413911202,1989,49,8186,8235
413911203,1989,5,654,659
413911204,1989,19,1516,1535
413911301,702,57,6133,6190
413911302,702,14,2484,2498
413921101,75,25,6994,7018
413921102,75,15,2524,2539
413921201,1618,27,2112,2139
413921202,1618,22,790,812
413921203,1618,39,2660,2698
413921204,1618,8,1475,1483
413921301,865,22,2342,2364
413921302,865,42,1626,1668
413931101,276,60,4395,4455
413931102,276,22,1022,1043
413931201,1449,26,2514,2541
413931202,1449,36,2143,2179
413931203,1449,17,868,885
413931204,1449,56,2485,2542
413931301,2829,19,929,948
413931302,2829,34,1156,1190
413941101,131,29,4311,4341
413941102,131,46,6021,6066
413941201,3078,5,890,895
413941202,3078,57,5329,5386
413941203,3078,19,1208,1227
413941204,3078,78,3385,3462
413941301,1572,46,3738,3784
413941302,1572,42,6393,6434
413951101,318,53,9118,9171
413951201,2345,18,1477,1495
413951202,2345,54,3923,3978
413951301,3021,26,1236,1262
413952101,1590,33,7413,7446
413952201,5804,51,3641,3693
413952202,5804,26,1359,1385
413952301,2544,33,1799,1832
413961101,305,57,6613,6670
413961102,305,37,3179,3216
413961201,2173,62,17936,17998
413961202,2173,34,3376,3410
413961203,2173,31,1935,1966
413961204,2173,43,2827,2870
413961301,1830,6,1474,1480
413961302,1830,21,1305,1326
413971101,72,32,3468,3499
413971102,72,32,2541,2572
413971201,924,33,1682,1715
413971202,924,50,6317,6367
413971203,924,20,2232,2252
413971204,924,43,3844,3887
413971301,576,32,1946,1977
413971302,576,15,1475,1490
413981101,408,7,1166,1174
413981102,408,14,3159,3173
413981201,1100,34,2179,2212
413981202,1100,18,1266,1284
413981203,1100,7,440,447
413981204,1100,25,2530,2555
413981301,2038,14,1004,1019
413981302,2038,30,1327,1357
413991101,400,50,2366,2416
413991102,400,88,17422,17510
413991201,1869,62,2238,2300
413991202,1869,57,2605,2662
413991203,1869,32,4660,4692
413991204,1869,73,3382,3455
413991301,267,22,767,789
413991302,267,39,2693,2732
414001101,472,,983,0
414001102,472,,7775,0
414001103,472,3,1225,1228
414001104,472,,1062,0
414001201,4084,4,705,709
414001202,4084,5,724,729
414001203,4084,3,798,801
414001204,4084,3,579,582
414011101,265,53,10129,10182
414011102,265,126,100956,101082
414011201,1616,50,3770,3820
414011202,1616,4,1141,1145
414011203,1616,38,3635,3674
414011204,1616,51,2601,2652
414011301,901,42,2833,2875
414011302,901,21,2198,2219
414021101,860,44,4075,4119
414021102,860,,3665,0
414021103,860,,831,0
414021104,860,,3833,0
414021201,1289,92,5855,5946
414021202,1289,55,2640,2695
414021203,1289,53,6547,6600
414021204,1289,55,2562,2617
414031201,192,35,2032,2067
414031202,192,33,1886,1919
414031203,192,4,1077,1081
414031204,192,42,2639,2681
414031205,192,23,1615,1638
414031206,192,26,1728,1754
414031207,192,21,1363,1385
414031208,192,61,2372,2432
414041101,246,41,4586,4627
414041102,246,59,5439,5499
414041201,156,61,3058,3119
414041202,156,55,2000,2055
414041203,156,62,2642,2704
414041204,156,56,3088,3144
414041301,87,24,699,723
414041302,87,23,1652,1675
414051201,515,61,2667,2728
414051202,515,47,10895,10942
414051203,515,6,701,707
414051204,515,16,3199,3215
414051205,515,44,1612,1656
414051206,515,38,3572,3610
414051301,773,63,2606,2669
414051302,773,40,2024,2064
414061101,1869,,7262,0
414061102,1869,,5771,0
414061103,1869,,7370,0
414061104,1869,,7081,0
414061201,2012,21,1764,1785
414061202,2012,41,14072,14112
414061203,2012,28,2616,2645
414061204,2012,74,6884,6957
414071101,710,54,1963,2017
414071102,710,24,2180,2204
414071201,417,32,857,889
414071202,417,77,7442,7519
414071203,417,62,3673,3735
414071204,417,7,902,909
414071301,89,36,1597,1634
414071302,89,88,3084,3172
414081101,567,41,14210,14251
414081102,567,18,2544,2563
414081103,567,52,10366,10418
414081104,567,73,31891,31964
414081201,1777,41,7361,7402
414081202,1777,44,4195,4239
414081203,1777,27,5404,5431
414081204,1777,52,6890,6943
414091101,829,32,1239,1271
414091102,829,12,495,507
414091201,786,44,1537,1581
414091202,786,32,2344,2376
414091203,786,62,3727,3789
414091204,786,52,4681,4732
414091301,161,67,2297,2364
414091302,161,71,3047,3118
414201101,422,52,13496,13548
414201102,422,53,8953,9006
414201201,825,50,3311,3361
414201202,825,60,3899,3959
414201203,825,48,3150,3198
414201204,825,42,12538,12580
414201301,492,29,1383,1412
414201302,492,34,2267,2301
414231101,2990,81,13504,13585
414231201,4772,61,2619,2680
414231202,4772,52,2166,2218
414231301,460,57,3060,3117
414232101,4140,49,3993,4042
414232201,9488,13,3564,3577
414232202,9488,83,5662,5745
414232301,14145,51,1892,1943
414251101,561,60,7462,7522
414251102,561,38,14183,14222
414251201,1308,29,1606,1635
414251202,1308,76,2320,2397
414251203,1308,56,2347,2403
414251204,1308,36,10044,10080
414251301,1233,20,863,883
414251302,1233,39,1030,1070
414261101,1908,60,6593,6653
414261102,1908,27,2729,2756
414261201,716,16,1095,1112
414261202,716,,2070,0
414261203,716,13,1823,1836
414261204,716,76,5102,5179
414261301,742,79,4329,4408
414261302,742,85,3284,3369
414281101,146,,2039,0
414281102,146,44,3812,3856
414281201,493,44,2914,2957
414281202,493,53,6805,6858
414281203,493,48,2071,2119
414281204,493,19,1775,1793
414281301,164,28,1046,1073
414281302,164,40,1768,1809
414301101,239,21,27227,27248
414301102,239,22,2847,2869
414301201,931,62,2144,2206
414301202,931,9,841,850
414301203,931,66,4159,4224
414301204,931,3,296,299
414301301,191,37,1817,1854
414301302,191,13,1110,1122
414311101,3452,3,923,927
414311102,3452,21,2695,2716
414311201,476,82,10313,10395
414311202,476,43,8983,9026
414311203,476,44,3121,3165
414311204,476,44,4290,4335
414311301,44,36,2271,2306
414311302,44,34,3266,3300
414321101,1324,47,5754,5800
414321102,1324,50,10752,10803
414321103,1324,66,53943,54009
414321104,1324,52,13065,13116
414321201,301,76,4344,4420
414321202,301,74,5245,5320
414321203,301,3,692,695
414321204,301,4,770,774
414331101,3234,43,4982,5024
414331102,3234,4,4244,4249
414331201,3292,62,2604,2666
414331202,3292,61,5382,5443
414331203,3292,70,6757,6827
414331204,3292,121,5972,6093
414331301,231,10,970,980
414331302,231,57,2698,2755
414341101,184,62,21028,21090
414341102,184,85,31433,31518
414341201,871,54,2029,2083
414341202,871,30,3355,3385
414341203,871,49,3406,3455
414341204,871,50,2796,2846
414341301,656,20,1163,1183
414341302,656,37,1701,1738
414351101,3656,38,5761,5799
414351102,3656,37,24707,24744
414351103,3656,24,4806,4830
414351104,3656,45,37535,37580
414351201,548,26,6806,6832
414351202,548,54,5237,5292
414351203,548,27,3209,3237
414351204,548,35,4541,4576
414361101,65,45,7433,7478
414361102,65,48,5698,5746
414361201,402,34,1681,1714
414361202,402,34,1279,1314
414361203,402,45,2662,2707
414361204,402,31,1590,1621
414361301,648,15,2924,2939
414361302,648,41,1515,1556
414371201,7869,18,851,869
414371202,7869,12,1529,1540
414371301,132,83,1580,1663
414372101,1256,15,2288,2303
414372102,1256,46,6045,6091
414372201,8200,17,918,935
414372202,8200,14,866,880
414381101,835,30,2004,2034
414381102,835,48,2627,2675
414381201,2981,26,986,1012
414381202,2981,113,2126,2239
414381203,2981,92,1943,2035
414381204,2981,47,1739,1786
414381301,716,31,806,837
414381302,716,1,183,184
414391101,1059,41,10328,10369
414391102,1059,,2607,0
414391201,2571,51,2263,2314
414391202,2571,24,4956,4980
414391203,2571,18,1525,1543
414391204,2571,43,3816,3859
414391302,1059,17,2817,2834
414501101,292,64,5444,5508
414501102,292,9,56847,56856
414501201,748,25,3452,3477
414501202,748,29,2394,2423
414501203,748,43,7289,7332
414501204,748,9,2557,2566
414501301,438,23,694,717
414501302,438,19,1693,1712
414511101,207,63,8241,8305
414511102,207,35,12329,12364
414511201,94,2,392,394
414511202,94,,447,0
414511203,94,21,3145,3166
414511204,94,58,2530,2588
414511301,22,22,977,999
414511302,22,16,1074,1089
414521101,848,58,5521,5579
414521102,848,51,5991,6042
414521201,7076,,481,0
414521202,7076,,894,0
414521203,7076,,802,0
414521204,7076,,838,0
414521301,795,28,1089,1116
414521302,795,62,1824,1886
414531201,714,26,948,973
414531202,714,90,6491,6582
414531203,714,36,3774,3810
414531204,714,48,5382,5430
414531205,714,56,2086,2142
414531206,714,66,4059,4125
414531301,1089,31,2083,2114
414531302,1089,38,2020,2058
414541101,462,37,8478,8515
414541102,462,45,8574,8620
414541201,386,40,878,918
414541202,386,77,5692,5769
414541203,386,86,2888,2973
414541204,386,157,10970,11127
414541301,98,50,1863,1913
414541302,98,2,298,299
414551101,3565,26,5215,5241
414551102,3565,16,4314,4330
414551201,5894,58,2859,2917
414551202,5894,66,5910,5976
414551203,5894,48,13949,13997
414551204,5894,12,2967,2979
414551301,1265,143,3889,4032
414551302,1265,23,4670,4694
414561101,262,72,10479,10551
414561102,262,26,4366,4391
414561201,561,17,628,645
414561202,561,49,1610,1660
414561203,561,61,1578,1639
414561204,561,42,2662,2704
414561301,673,3,253,255
414561302,673,12,286,298
414571101,495,35,6576,6612
414571102,495,80,19329,19409
414571201,1126,8,3023,3030
414571202,1126,45,6195,6240
414571203,1126,10,1404,1414
414571204,1126,27,2753,2780
414571301,470,70,3156,3226
414571302,470,71,2874,2945
414581201,982,56,2153,2208
414581202,982,30,2363,2393
414581203,982,56,2012,2068
414581204,982,47,1175,1222
414581205,982,14,557,571
414581206,982,43,1581,1624
414581301,495,58,1621,1679
414581302,495,58,7206,7264
414591101,1073,60,3863,3923
414591102,1073,49,3709,3758
414591103,1073,28,3284,3313
414591104,1073,60,7571,7631
414591201,3458,26,2898,2924
414591202,3458,54,4389,4443
414591203,3458,2,1099,1102
414591204,3458,2,924,925
414601101,10395,16,1160,1175
414601102,10395,54,7519,7573
414601201,2021,38,3296,3334
414601202,2021,35,1225,1260
414601203,2021,22,950,972
414601204,2021,18,1377,1395
414601301,924,11,997,1008
414601302,924,10,980,990
414611101,266,46,5358,5404
414611102,266,54,9480,9534
414611201,687,47,2841,2888
414611202,687,73,3060,3134
414611203,687,27,1576,1603
414611204,687,54,6195,6248
414611301,697,16,941,957
414611302,697,94,2576,2670
414621101,1150,40,9181,9222
414621102,1150,26,8298,8323
414621103,1150,35,7411,7446
414621104,1150,41,11827,11867
414621201,476,34,5107,5142
414621202,476,38,2121,2159
414621203,476,80,3227,3308
414621204,476,56,4645,4701
414631101,3473,32,2922,2954
414631102,3473,52,8723,8774
414631103,3473,53,5893,5945
414631104,3473,3,2366,2369
414631201,2620,56,5727,5784
414631202,2620,50,14625,14675
414631203,2620,29,8245,8274
414631204,2620,57,8803,8860
414641101,2072,,1184,0
414641102,2072,41,15720,15761
414641103,2072,,1319,0
414641201,3273,25,6933,6958
414641202,3273,18,935,954
414641203,3273,17,855,871
414641204,3273,17,963,980
414651101,83,24,5164,5188
414651102,83,35,1638,1673
414651201,874,42,1850,1892
414651202,874,44,2229,2274
414651203,874,30,3284,3314
414651204,874,33,5080,5113
414651301,536,65,2972,3037
414651302,536,25,1275,1300
414661101,903,43,7893,7936
414661102,903,57,8343,8400
414661103,903,24,2582,2606
414661104,903,42,6137,6179
414661201,722,48,4309,4356
414661202,722,38,4267,4305
414661203,722,30,2745,2775
414661204,722,41,1728,1769
414671101,454,34,4308,4343
414671102,454,21,14252,14272
414671103,454,23,59496,59519
414671104,454,110,15405,15515
414671201,1928,35,2439,2473
414671202,1928,59,1738,1797
414671203,1928,61,4401,4462
414671204,1928,48,4836,4884
414681101,286,26,2704,2730
414681102,286,37,3827,3864
414681201,788,66,1842,1909
414681202,788,78,2866,2944
414681203,788,29,1245,1274
414681204,788,38,3025,3063
414681301,1671,140,5558,5698
414681302,1671,30,1205,1235
414691201,592,45,4796,4842
414691202,592,26,4030,4056
414691203,592,35,3557,3591
414691204,592,47,4472,4520
414691205,592,23,3991,4014
414691206,592,41,2845,2886
414691301,248,53,2072,2125
414691302,248,29,1808,1837
414711101,111,82,4001,4083
414711102,111,75,3737,3812
414711201,701,103,3075,3178
414711202,701,81,2960,3041
414711203,701,44,2564,2608
414711204,701,42,2439,2481
414711301,1235,48,2866,2914
414711302,1235,68,2679,2747
414721101,2074,50,5290,5340
414721102,2074,25,4086,4110
414721103,2074,52,12022,12074
414721104,2074,31,4485,4516
414721201,255,55,4087,4142
414721202,255,24,3210,3234
414721203,255,71,5964,6035
414721204,255,20,2192,2211
414741101,143,21,2054,2075
414741102,143,12,910,922
414741201,84,89,4446,4535
414741202,84,19,1330,1349
414741203,84,101,34915,35016
414741204,84,88,5563,5651
414741301,13,46,2286,2332
414741302,13,34,1995,2029
414771101,58,96,21939,22035
414771102,58,5,1328,1333
414771201,127,36,5629,5666
414771202,127,50,3939,3989
414771203,127,14,1044,1058
414771204,127,47,3671,3718
414771301,32,45,1404,1450
414771302,32,18,1193,1212
414791101,1075,41,4146,4187
414791102,1075,19,973,992
414791103,1075,36,7026,7062
414791104,1075,24,3540,3564
414791201,2973,97,11091,11188
414791202,2973,41,2178,2220
414791203,2973,58,8044,8103
414791204,2973,53,6970,7023
414801101,3220,66,4650,4716
414801102,3220,36,1518,1554
414801201,5426,78,2817,2895
414801202,5426,41,9554,9595
414801203,5426,62,3141,3203
414801204,5426,115,6913,7028
414801301,5605,21,1171,1192
414801302,5605,17,2143,2160
414811101,923,35,2532,2567
414811102,923,68,8230,8298
414811103,923,54,8290,8344
414811104,923,60,8111,8171
414811201,1766,32,1551,1583
414811202,1766,51,4732,4783
414811203,1766,61,5564,5626
414811204,1766,76,5200,5275
414821101,74,60,18165,18224
414821102,74,37,4583,4620
414821201,384,37,2578,2615
414821202,384,33,2478,2511
414821203,384,6,652,658
414821204,384,7,774,781
414821301,712,33,1434,1468
414821302,712,15,1603,1617
414831201,3438,91,2008,2100
414831202,3438,82,2098,2180
414831203,3438,38,1633,1671
414831301,764,19,1714,1734
414832201,22156,35,1486,1521
414832202,22156,65,1682,1747
414832203,22156,22,1331,1354
414832301,6876,28,1370,1398
414841101,2235,61,5576,5636
414841102,2235,13,1628,1641
414841201,586,26,1475,1501
414841202,586,26,1281,1307
414841203,586,10,841,851
414841204,586,87,5266,5353
414841301,243,18,884,902
414841302,243,24,1745,1770
414851101,10857,36,9650,9687
414851102,10857,28,4293,4321
414851103,10857,54,8308,8362
414851104,10857,22,5996,6018
414851201,6641,,1518,0
414851202,6641,52,3653,3706
414851203,6641,41,4732,4773
414851204,6641,36,1806,1842
414861101,2803,6,1029,1035
414861102,2803,36,9822,9858
414861201,4388,13,1342,1355
414861202,4388,28,2248,2276
414861203,4388,27,2811,2837
414861204,4388,14,1123,1137
414861301,731,24,1311,1335
414861302,731,32,3027,3059
414871101,123,34,9073,9107
414871102,123,3,1177,1180
414871201,615,34,2228,2263
414871202,615,47,2580,2627
414871203,615,49,2015,2063
414871204,615,13,1864,1877
414871301,144,26,1466,1492
414871302,144,13,1256,1269
414881101,309,70,10889,10959
414881102,309,56,6807,6863
414881201,328,31,1688,1719
414881202,328,13,967,980
414881203,328,70,2179,2248
414881204,328,66,3593,3659
414881301,136,24,1260,1284
414881302,136,44,3469,3513
414891101,1752,44,50784,50828
414891102,1752,47,12636,12683
414891103,1752,28,10632,10659
414891104,1752,36,9272,9308
414891201,3901,45,4332,4377
414891202,3901,,523,0
414891203,3901,12,538,551
414891204,3901,40,1264,1305
414901101,1031,38,8672,8711
414901102,1031,70,7216,7286
414901201,3157,39,5507,5545
414901202,3157,,3010,0
414901203,3157,19,2156,2174
414901204,3157,64,4995,5058
414901301,2191,46,4047,4093
414901302,2191,25,379,404
414911101,1487,6,7007,7013
414911102,1487,65,15509,15573
414911201,2379,64,9955,10019
414911202,2379,55,6174,6229
414911203,2379,22,1542,1563
414911204,2379,22,4673,4695
414911301,991,15,1462,1477
414911302,991,46,1587,1634
414921101,7012,58,6601,6659
414921201,7106,64,6366,6430
414921202,7106,22,2154,2177
414921301,1895,47,2502,2549
414922101,19329,34,11537,11572
414922201,12696,40,8122,8162
414922202,12696,36,5679,5715
414922301,758,36,2428,2464
414931101,102,34,7812,7846
414931102,102,14,1477,1491
414931201,1964,47,3035,3082
414931202,1964,46,2805,2851
414931203,1964,63,3902,3965
414931204,1964,30,2054,2084
414931301,765,39,1384,1422
414931302,765,31,1049,1080
414941101,1196,52,6030,6082
414941102,1196,58,5566,5624
414941201,1522,18,3017,3035
414941202,1522,20,1546,1566
414941203,1522,16,487,503
414941204,1522,50,4276,4327
414941301,979,11,1938,1949
414941302,979,64,3315,3379
414951101,270,,1234,0
414951102,270,8,3598,3606
414951201,469,23,4967,4990
414951202,469,12,6886,6898
414951203,469,20,2194,2215
414951204,469,18,3314,3332
414951301,68,13,2235,2248
414951302,68,31,1686,1717
414961101,55,42,7575,7618
414961102,55,70,9320,9390
414961201,187,48,8606,8655
414961202,187,59,5712,5772
414961203,187,48,4509,4557
414961204,187,49,4449,4498
414961301,22,29,1412,1441
414961302,22,33,2296,2329
414971201,1839,24,1646,1670
414971202,1839,62,3275,3338
414971203,1839,51,5515,5565
414971204,1839,51,3139,3190
414971205,1839,35,2060,2095
414971206,1839,66,3300,3366
414971301,1194,77,2615,2691
414971302,1194,53,1894,1946
414981101,1173,25,8280,8305
414981102,1173,27,10035,10062
414981103,1173,47,14781,14828
414981104,1173,48,16985,17032
414981201,3211,76,8806,8882
414981202,3211,57,6889,6946
414981203,3211,17,5940,5957
414981204,3211,33,1613,1646
414991101,524,35,8444,8480
414991102,524,48,4690,4738
414991201,1212,26,2074,2100
414991202,1212,51,2314,2365
414991203,1212,46,3834,3879
414991204,1212,42,3298,3340
414991301,131,63,4867,4930
414991302,131,97,2615,2712
415001101,1119,37,12714,12751
415001102,1119,14,4719,4733
415001201,1399,26,5421,5447
415001202,1399,18,2092,2110
415001203,1399,25,5347,5372
415001204,1399,64,10116,10180
415001301,373,29,2929,2958
415001302,373,11,1543,1554
415011101,8426,31,10091,10122
415011102,8426,30,14032,14062
415011201,1083,14,3406,3420
415011202,1083,23,4214,4237
415011203,1083,43,5624,5667
415011204,1083,32,6373,6405
415011301,482,16,2369,2385
415011302,482,15,1728,1743
415021101,6254,13,5845,5858
415021102,6254,24,6302,6326
415021201,2301,29,17974,18003
415021202,2301,35,4755,4790
415021203,2301,39,10931,10970
415021204,2301,17,2927,2944
415021301,1770,5,386,391
415021302,1770,16,4408,4424
415031101,2650,20,14205,14225
415031102,2650,19,10704,10723
415031201,477,27,3645,3673
415031202,477,53,12636,12689
415031203,477,5,1552,1557
415031204,477,7,1788,1795
415031301,159,30,3640,3670
415031302,159,17,3035,3052
415041101,806,27,8841,8867
415041102,806,13,1585,1598
415041201,2741,50,4065,4115
415041202,2741,21,1307,1328
415041203,2741,53,4138,4190
415041204,2741,27,3366,3393
415041301,1290,38,1551,1589
415041302,1290,56,1663,1719
415051101,733,46,11663,11709
415051102,733,29,4778,4807
415051201,1833,44,3479,3523
415051202,1833,23,3227,3250
415051203,1833,38,2831,2870
415051204,1833,37,4242,4279
415051301,831,32,1863,1895
415051302,831,39,2573,2612
415061101,677,62,5937,5999
415061102,677,12,2791,2802
415061201,959,32,3645,3677
415061202,959,43,4554,4597
415061203,959,36,3232,3267
415061204,959,20,2550,2570
415061301,564,24,1684,1707
415061302,564,20,2248,2268
415071101,3218,30,6965,6995
415071102,3218,37,9263,9300
415071201,1806,31,2603,2634
415071202,1806,35,2050,2086
415071203,1806,24,5038,5062
415071204,1806,62,6784,6846
415071301,785,48,6501,6548
415071302,785,31,3858,3890
415081101,8100,58,9878,9935
415081102,8100,11,4483,4494
415081201,1256,18,2217,2235
415081202,1256,52,5008,5059
415081203,1256,66,8450,8516
415081204,1256,7,950,957
415081301,162,37,2200,2237
415081302,162,20,883,904
415091101,516,14,857,871
415091102,516,28,4357,4384
415091201,258,18,5964,5982
415091202,258,13,1266,1279
415091203,258,61,10299,10360
415091204,258,23,4992,5015
415091301,301,6,1908,1914
415091302,301,12,1713,1724
415101101,430,7,2501,2509
415101102,430,47,6382,6429
415101201,838,35,4382,4417
415101202,838,32,5162,5193
415101203,838,14,1004,1018
415101204,838,20,1833,1853
415101301,2279,8,1165,1172
415101302,2279,13,833,846
415111101,921,18,15960,15978
415111102,921,9,5893,5902
415111201,2725,23,4215,4238
415111202,2725,35,8569,8604
415111203,2725,30,10173,10203
415111204,2725,6,434,440
415111301,4758,29,1587,1616
415111302,4758,11,975,986
415121101,266,44,8655,8699
415121102,266,20,3748,3768
415121201,848,18,7535,7553
415121202,848,21,5159,5180
415121203,848,30,2966,2996
415121204,848,17,1727,1745
415121301,332,27,2778,2805
415121302,332,34,3406,3440
415131101,1202,16,1545,1561
415131102,1202,34,2321,2355
415131201,2180,20,1336,1356
415131202,2180,23,1281,1304
415131203,2180,40,3155,3195
415131204,2180,15,4409,4424
415131301,356,48,1968,2016
415131302,356,40,2200,2241
415141101,375,12,3054,3066
415141102,375,54,24051,24105
415141201,3938,20,2186,2207
415141202,3938,17,3712,3730
415141203,3938,29,6503,6532
415141204,3938,46,14732,14779
415141301,750,28,7091,7119
415141302,750,19,1490,1509
415151101,124,47,4006,4053
415151102,124,74,7819,7893
415151201,1074,25,6284,6309
415151202,1074,34,1877,1911
415151203,1074,10,3474,3484
415151204,1074,48,6943,6991
415151301,1214,21,2360,2381
415151302,1214,20,3027,3047
415161101,546,28,9188,9217
415161102,546,50,16982,17031
415161201,1092,9,1622,1631
415161202,1092,27,5248,5275
415161203,1092,32,6840,6873
415161204,1092,44,8976,9020
415161301,1386,57,4729,4786
415161302,1386,20,1132,1152
415171201,463,30,7038,7068
415171202,463,28,6378,6406
415171203,463,,1183,0
415171204,463,24,4047,4070
415171205,463,,1844,0
415171206,463,25,8629,8654
415171301,139,44,6965,7009
415171302,139,30,5014,5045
415181101,1570,29,5193,5221
415181102,1570,32,7547,7579
415181201,1845,19,1757,1776
415181202,1845,18,1534,1552
415181203,1845,58,5172,5231
415181204,1845,31,5496,5527
415181301,706,22,749,771
415181302,706,31,3166,3197
415191101,420,54,11883,11937
415191102,420,47,12655,12702
415191103,420,22,5990,6012
415191104,420,42,19445,19487
415191201,2765,23,8303,8326
415191202,2765,38,8924,8963
415191203,2765,25,6404,6429
415191204,2765,26,4670,4695
415201101,300,24,4745,4769
415201102,300,21,16268,16289
415201201,858,21,3922,3943
415201202,858,42,5712,5755
415201203,858,20,9739,9759
415201204,858,14,2391,2405
415201301,2230,17,1110,1127
415201302,2230,44,1746,1790
415211101,226,20,3552,3572
415211102,226,134,9546,9680
415211201,621,24,2419,2443
415211202,621,14,1685,1699
415211203,621,22,1087,1108
415211204,621,17,2442,2459
415211301,452,31,2186,2217
415211302,452,14,1855,1869
415221101,831,15,12921,12936
415221102,831,38,9236,9275
415221103,831,58,128941,128999
415221104,831,,1162,0
415221201,130,35,3472,3507
415221202,130,21,7107,7128
415221204,130,5,1726,1732
415231201,1431,9,1886,1895
415231202,1431,24,1548,1572
415231203,1431,5,889,894
415231204,1431,14,1210,1224
415231205,1431,16,1113,1128
415231206,1431,56,2489,2545
415231301,7047,13,1555,1568
415231302,7047,27,3133,3160
415241101,5192,34,7191,7225
415241102,5192,14,5494,5508
415241201,5428,17,1783,1801
415241202,5428,22,2599,2621
415241203,5428,13,2477,2490
415241204,5428,18,2968,2987
415241301,4366,35,3578,3613
415241302,4366,38,2233,2271
415251101,93,34,6928,6962
415251201,2313,,1221,0
415251202,2313,8,2487,2495
415251203,2313,,1152,0
415251204,2313,2,1111,1112
415251205,2313,29,2595,2625
415251301,466,46,2514,2560
415251302,466,42,2259,2301
415261101,2703,41,11226,11267
415261102,2703,13,4642,4655
415261201,530,19,4470,4488
415261202,530,37,6041,6078
415261203,530,25,3823,3847
415261204,530,28,1270,1298
415261301,265,35,1347,1382
415261302,265,22,895,917
415271101,722,29,12471,12499
415271102,722,51,11307,11358
415271201,1565,28,3443,3471
415271202,1565,22,3313,3335
415271203,1565,36,4106,4142
415271204,1565,21,2235,2256
415271301,3852,15,1370,1385
415271302,3852,9,2986,2995
415281101,377,22,7017,7040
415281102,377,24,8498,8522
415281201,1343,29,6613,6641
415281202,1343,17,8150,8167
415281203,1343,15,8292,8307
415281204,1343,34,5889,5922
415281301,330,34,4642,4676
415281302,330,36,2807,2843
415291101,1209,30,5809,5838
415291102,1209,34,17093,17127
415291201,2419,40,4053,4093
415291202,2419,8,447,455
415291203,2419,36,5927,5964
415291204,2419,33,4815,4848
415291301,1693,18,796,814
415291302,1693,35,1644,1679
415301101,1027,15,2105,2119
415301102,1027,16,1972,1988
415301201,1214,55,5647,5701
415301202,1214,8,1421,1428
415301203,1214,36,4100,4136
415301204,1214,8,948,956
415301301,342,11,1670,1681
415301302,342,15,1923,1938
415311101,417,53,17581,17633
415311102,417,34,2113,2148
415311201,4309,23,1746,1769
415311202,4309,32,4523,4555
415311203,4309,64,3897,3960
415311204,4309,74,10033,10107
415311301,5004,59,2682,2741
415311302,5004,33,2252,2285
415321101,875,57,9802,9859
415321102,875,42,8670,8712
415321201,875,33,9096,9129
415321202,875,36,2984,3020
415321203,875,3,998,1001
415321204,875,85,11854,11939
415321301,812,41,3454,3495
415321302,812,46,4363,4409
415331101,1260,25,9306,9331
415331102,1260,18,6521,6539
415331201,3864,16,9040,9057
415331202,3864,60,16783,16843
415331203,3864,118,20825,20943
415331204,3864,31,4736,4767
415331301,2310,26,1483,1509
415331302,2310,35,2805,2841
415341101,140,40,31767,31807
415341102,140,61,12045,12105
415341201,3745,14,1602,1616
415341202,3745,10,2027,2038
415341203,3745,8,581,589
415341204,3745,41,3128,3169
415341301,7840,34,3556,3590
415341302,7840,32,1728,1760
415351101,565,22,3261,3282
415351201,1413,47,6178,6226
415351202,1413,44,7967,8011
415351301,3790,36,6635,6671
415352101,998,19,4541,4560
415352201,3491,34,6520,6554
415352202,3491,60,10232,10292
415352301,2527,29,4712,4741
415361101,921,46,8937,8984
415361102,921,78,10542,10619
415361201,4567,19,1642,1661
415361202,4567,35,8247,8282
415361203,4567,47,5926,5973
415361204,4567,10,1340,1350
415361301,2456,53,3374,3427
415361302,2456,38,6616,6654
415371101,826,18,8763,8781
415371102,826,12,2483,2495
415371201,2629,35,2027,2062
415371202,2629,34,4669,4703
415371203,2629,35,7746,7782
415371204,2629,33,4841,4875
415371301,1427,25,2907,2932
415371302,1427,33,5756,5789
415381101,400,35,2220,2256
415381102,400,62,5268,5331
415381201,1268,11,640,651
