GST_ID_NO,Weight,GST_Cereal,GST_Other,GST_Total
410261204,1465,45,3788,3833
410271101,579,30,6177,6206
410271102,579,30,4359,4389
410271103,579,26,5476,5502
410271104,579,27,3493,3520
410271201,2718,32,4617,4649
410271202,2718,30,3442,3471
410271203,2718,40,4422,4461
410271204,2718,17,2837,2854
410281101,719,44,6752,6796
410281102,719,37,11478,11515
410281103,719,36,4127,4163
410281104,719,19,5849,5868
410281201,1303,32,3796,3828
410281202,1303,36,11464,11500
410281203,1303,40,5144,5184
410281204,1303,35,6064,6099
410291101,308,45,38489,38534
410291102,308,115,46835,46950
410291201,3848,40,1722,1762
410291202,3848,7,608,614
410291203,3848,45,1434,1479
410291204,3848,10,612,623
410291301,821,20,725,744
410291302,821,69,5147,5217
410301101,632,13,5055,5069
410301102,632,11,2302,2314
410301103,632,37,16890,16927
410301104,632,32,7801,7833
410301201,3198,32,4679,4711
410301202,3198,23,2726,2748
410301203,3198,21,4132,4153
410301204,3198,26,2839,2864
410311101,6184,15,18868,18883
410311102,6184,34,19411,19445
410311103,6184,,3540,0
410311104,6184,13,5293,5307
410311201,1750,25,5968,5993
410311202,1750,25,8635,8660
410311203,1750,38,8394,8432
410311204,1750,16,3146,3162
410321101,878,45,5484,5529
410321102,878,45,13438,13483
410321201,2565,35,3674,3709
410321202,2565,71,5239,5311
410321203,2565,39,4420,4459
410321204,2565,53,5998,6050
410321301,675,81,4992,5072
410321302,675,65,4864,4929
410331101,2022,17,9895,9912
410331102,2022,27,6355,6382
410331103,2022,17,5332,5349
410331104,2022,32,9416,9448
410331201,3056,40,8427,8466
410331202,3056,31,7390,7421
410331203,3056,53,10550,10603
410331204,3056,26,6865,6892
410341101,3128,13,2939,2952
410341102,3128,23,17799,17822
410341103,3128,20,12859,12879
410341104,3128,14,20866,20881
410341201,581,,944,0
410341202,581,8,1797,1805
410341203,581,,773,0
410341204,581,,703,0
410351101,1007,34,28503,28537
410351102,1007,49,12298,12347
410351201,2577,28,2680,2708
410351202,2577,43,9381,9425
410351203,2577,48,7424,7472
410351204,2577,21,1952,1972
410351301,592,61,3045,3106
410351302,592,56,2731,2786
410361101,1122,17,4466,4483
410361102,1122,50,7189,7239
410361201,858,74,10622,10696
410361202,858,19,2649,2668
410361203,858,24,3636,3659
410361204,858,20,2262,2282
410361301,462,34,2637,2671
410361302,462,39,2486,2525
410371101,1349,33,21448,21481
410371102,1349,29,8066,8096
410371103,1349,13,8546,8559
410371104,1349,21,5690,5710
410371201,940,26,4906,4932
410371202,940,48,15915,15963
410371203,940,43,12064,12108
410371204,940,23,6969,6992
410381101,1549,29,14849,14878
410381102,1549,28,8001,8028
410381201,2618,47,12747,12794
410381202,2618,33,4702,4736
410381203,2618,26,5222,5248
410381204,2618,30,2704,2734
410381301,664,32,3036,3068
410381302,664,41,2039,2080
410391101,1078,19,2494,2513
410391102,1078,19,6062,6081
410391103,1078,15,1381,1396
410391104,1078,26,7301,7327
410391201,4179,31,5055,5086
410391202,4179,17,3179,3196
410391203,4179,12,2743,2755
410391204,4179,11,1544,1555
410401101,2755,63,38252,38315
410401102,2755,33,7116,7149
410401103,2755,48,22529,22577
410401104,2755,19,10858,10877
410401201,2562,46,9359,9405
410401202,2562,40,6546,6586
410401203,2562,24,11970,11994
410401204,2562,51,12981,13031
410411101,959,6,4799,4805
410411102,959,15,2584,2598
410411201,2176,60,4580,4640
410411202,2176,24,1579,1602
410411203,2176,41,4008,4049
410411204,2176,48,3205,3253
410411301,1328,24,1941,1964
410411302,1328,27,2632,2659
410421101,9101,,925,0
410421201,31621,,710,0
410421202,31621,,752,0
410421301,1234,91,3284,3375
410422101,30079,,1008,0
410422201,96715,,895,0
410422202,96715,,665,0
410422301,5553,38,1781,1819
410431101,5940,26,14491,14517
410431102,5940,23,6928,6951
410431103,5940,44,14112,14156
410431104,5940,28,7231,7259
410431201,6930,16,2032,2048
410431202,6930,33,4141,4174
410431203,6930,29,3855,3884
410431204,6930,51,5580,5631
410441101,5467,22,22188,22211
410441102,5467,18,4761,4778
410441103,5467,27,8444,8471
410441104,5467,15,2393,2408
410441201,2343,28,4184,4212
410441202,2343,15,2829,2844
410441203,2343,19,2236,2255
410441204,2343,17,4092,4109
410451101,838,29,9883,9912
410451102,838,44,9690,9734
410451201,1537,17,1513,1529
410451202,1537,14,916,930
410451203,1537,13,1938,1951
410451204,1537,30,2553,2584
410451301,11529,24,1131,1155
410451302,11529,2,580,581
410461101,1451,50,5311,5361
410461102,1451,8,1215,1223
410461201,2444,8,779,787
410461202,2444,27,1479,1506
410461203,2444,36,1958,1994
410461204,2444,30,2974,3004
410461301,2597,45,2141,2185
410461302,2597,35,1620,1655
410471101,3954,38,7418,7456
410471102,3954,40,7079,7119
410471201,3236,3,2858,2860
410471202,3236,35,4436,4471
410471203,3236,15,6023,6038
410471204,3236,39,3046,3085
410471301,1887,2,628,630
410471302,1887,37,2139,2176
410481101,959,,1936,0
410481102,959,31,3059,3091
410481103,959,,1517,0
410481201,18920,20,13454,13474
410481202,18920,28,3298,3326
410481203,18920,26,2824,2850
410481204,18920,20,6874,6894
410481301,288,31,2524,2556
410491101,2666,48,14702,14749
410491102,2666,17,3545,3563
410491201,1126,16,2086,2103
410491202,1126,39,2924,2963
410491203,1126,39,8400,8440
410491204,1126,43,6457,6501
410491301,652,37,4172,4208
410491302,652,46,4515,4561
410501101,2874,37,6002,6038
410501102,2874,262,10489,10750
410501201,4567,38,2320,2358
410501202,4567,34,7394,7427
410501203,4567,96,5689,5785
410501204,4567,31,18169,18200
410501301,1437,40,1674,1714
410501302,1437,40,1780,1820
410511101,24858,33,14491,14525
410511201,10358,38,3420,3458
410511202,10358,36,7467,7503
410512101,22786,61,7413,7474
410512201,33662,90,3123,3213
410512202,33662,77,13069,13146
410512301,4143,49,2818,2867
410512302,4143,28,1656,1684
410521101,7878,17,12266,12282
410521102,7878,33,11204,11237
410521103,7878,15,5157,5171
410521104,7878,27,25622,25649
410521201,2262,39,8677,8715
410521202,2262,34,10757,10791
410521203,2262,41,14736,14777
410521204,2262,56,7537,7592
410531101,148,35,16353,16388
410531102,148,47,7489,7536
410531201,1658,23,4709,4732
410531202,1658,7,1358,1365
410531203,1658,33,5180,5212
410531204,1658,23,3322,3345
410531301,940,21,7102,7123
410531302,940,20,3178,3198
410541101,3063,40,10703,10743
410541201,13784,37,5384,5421
410541202,13784,11,3815,3826
410541301,2808,47,4468,4515
410542101,14804,37,6006,6043
410542201,15315,26,3860,3886
410542202,15315,32,4941,4974
410542301,2042,16,4597,4613
410551101,1591,14,5211,5225
410551102,1591,6,1799,1805
410551201,1793,14,1412,1427
410551202,1793,9,1291,1300
410551203,1793,26,5074,5100
410551204,1793,14,3815,3829
410551301,606,21,1833,1854
410551302,606,29,2559,2588
410561101,538,21,12023,12044
410561102,538,20,12430,12451
410561201,1063,19,3273,3292
410561202,1063,29,4964,4993
410561203,1063,22,3556,3578
410561204,1063,17,13456,13473
410561301,256,9,1848,1856
410561302,256,48,6947,6995
410571101,612,8,1464,1472
410571102,612,42,13162,13203
410571103,612,23,3773,3796
410571104,612,23,5268,5290
410571201,3675,26,5363,5388
410571202,3675,39,6309,6348
410571203,3675,6,1643,1649
410571204,3675,18,16625,16643
410581101,624,137,20404,20541
410581102,624,15,6162,6177
410581201,7754,38,4717,4755
410581202,7754,26,5140,5166
410582101,1426,21,7300,7321
410582102,1426,30,6166,6196
410582201,13190,27,3569,3596
410582202,13190,23,2483,2506
410591101,4253,24,14971,14996
410591102,4253,34,8595,8629
410591201,3480,8,3974,3982
410591202,3480,48,12366,12414
410591203,3480,28,6560,6588
410591204,3480,43,10476,10519
410591301,1160,8,1793,1800
410591302,1160,18,5211,5230
410601101,248,9,1344,1354
410601102,248,10,1135,1145
410601201,4588,10,616,626
410601202,4588,10,748,757
410601203,4588,7,477,484
410601204,4588,,824,0
410601301,2728,9,3049,3058
410601302,2728,32,1904,1935
410611101,2597,29,12155,12184
410611102,2597,15,5247,5262
410611103,2597,37,9672,9709
410611201,1871,36,2940,2976
410611202,1871,69,19168,19237
410611203,1871,47,6216,6263
410611204,1871,35,7113,7148
410611301,153,37,3311,3348
410621101,1398,32,9339,9371
410621102,1398,9,966,975
410621201,5625,29,4486,4514
410621202,5625,25,2219,2243
410621203,5625,24,5589,5614
410621204,5625,14,1860,1873
410621301,2935,32,2675,2707
410621302,2935,2,275,278
410631101,4892,49,153315,153364
410631102,4892,36,8970,9006
410631103,4892,33,6136,6169
410631104,4892,38,5120,5158
410631201,7266,46,4008,4054
410631202,7266,24,3656,3681
410631203,7266,21,7909,7930
410631204,7266,61,6566,6627
410641101,1080,6,1149,1155
410641102,1080,,1031,0
410641201,1774,17,2854,2871
410641202,1774,18,2067,2085
410641203,1774,28,2367,2395
410641204,1774,12,1412,1423
410641301,617,30,2546,2576
410641302,617,21,1334,1355
410651101,7431,66,7793,7859
410651201,11147,23,1939,1962
410651202,11147,44,6838,6882
410652101,3075,19,8523,8542
410652201,19988,19,2475,2494
410652202,19988,44,8406,8450
410652301,1794,48,3256,3305
410652302,1794,38,4462,4500
410661101,1584,,1903,0
410661102,1584,23,11043,11066
410661201,18304,22,3376,3398
410661203,18304,19,1665,1685
410661204,18304,26,4904,4929
410661301,792,37,3231,3268
410661302,792,1,288,289
