FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,TOTAL_PROFTS_GAINS_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff,percent change in tax,Zero change
313038308,0,0,0,0,243033,243033,212978,0,0,0,0,1
339842898,0,0,0,0,337364,337364,337364,894,0,-894,-100,0
306342915,0,191494,0,0,94793,286287,167250,0,0,0,0,1
288007816,0,2270652,-214245,0,10395,2066802,1907637,396335,387183,-9152,-2,0
341159167,1,1586969,0,0,0,1586969,1436969,248323,240334,-7989,-3,0
314983093,1,1058682,-104182,0,666077,1620577,1460577,255618,247700,-7918,-3,0
298115074,0,0,0,0,250312,250312,250312,0,0,0,0,1
292313559,0,251336,0,0,330036,581371,575441,28416,15692,-12724,-45,0
266092444,1,0,0,1779497,0,1779497,1599497,298545,291043,-7502,-3,0
266128710,0,0,197962,383978,150111,732051,572051,27718,14987,-12731,-46,0
266137755,0,442351,0,1016400,43635,1502385,1342385,221672,210824,-10848,-5,0
266483488,0,0,0,331954,0,331954,331954,616,0,-616,-100,0
266547453,0,137038,0,429102,0,566140,426140,9071,0,-9071,-100,0
266582727,0,0,0,603544,0,603544,451254,10365,0,-10365,-100,0
266588057,0,0,0,276896,0,276896,276896,0,0,0,0,1
266601810,1,0,0,641410,400,641810,536128,17742,7515,-10228,-58,0
266729149,0,0,0,430966,7272,438237,431826,9364,0,-9364,-100,0
266772587,0,143857,0,224455,17284,385597,375597,6468,0,-6468,-100,0
266820778,0,0,0,369458,0,369458,369458,6152,0,-6152,-100,0
266831688,0,0,0,437721,0,437721,375436,6460,0,-6460,-100,0
266901543,0,0,0,467347,12479,479826,406544,8062,0,-8062,-100,0
266915154,0,0,0,381727,522,382249,339374,998,0,-998,-100,0
266915653,0,0,0,637789,3683,641471,488224,12269,0,-12269,-100,0
266922880,0,0,0,282102,670,282772,282181,0,0,0,0,1
266933342,0,0,0,383352,1853,385206,357013,5511,0,-5511,-100,0
266979403,1,0,16197,297441,116882,430520,425470,6462,0,-6462,-100,0
267004387,0,438855,0,124630,37953,601438,448686,10232,0,-10232,-100,0
267028054,0,0,0,330064,280059,610123,610123,35560,22906,-12655,-36,0
267047825,0,0,0,358596,0,358596,358596,5593,0,-5593,-100,0
267054829,0,0,0,416475,0,416475,392012,7314,0,-7314,-100,0
267087135,0,0,307314,186594,40480,534389,380489,6720,0,-6720,-100,0
267093088,0,0,0,216480,856,217336,214953,0,0,0,0,1
267118541,0,0,0,685782,0,685782,477019,11691,0,-11691,-100,0
267120107,0,0,0,419265,82930,502195,350203,5160,0,-5160,-100,0
267139296,0,0,0,386716,637,387353,366101,5979,0,-5979,-100,0
267151676,0,0,0,510088,0,510088,438168,9691,0,-9691,-100,0
267202612,0,0,0,626665,0,626665,563144,25883,13134,-12749,-49,0
267215643,0,0,0,374011,0,374011,374011,6387,0,-6387,-100,0
267227192,0,0,0,305174,0,305174,305174,0,0,0,0,1
267236208,0,0,0,472142,17300,489442,416174,8558,0,-8558,-100,0
267242084,0,0,0,411792,35300,447093,380431,6717,0,-6717,-100,0
267264368,0,0,23700,347625,73682,445006,301706,0,0,0,0,1
267270886,0,0,408140,265496,0,673636,654036,44606,32039,-12567,-28,0
267276134,0,0,0,867161,2921,870082,845842,84118,71935,-12183,-14,0
267284382,0,0,0,321648,0,321648,321648,85,0,-85,-100,0
267294376,0,0,0,392802,335,393137,392842,7356,0,-7356,-100,0
