GST_ID_NO,Weight,Weighted GST_Cereal,Weighted Total Consumption,Weighted GST
445171204,177,724012,192670759,14791506
445181101,112,90171,23592713,2009401
445181102,112,80521,21689359,2024025
445181201,312,225709,51687423,4026210
445181202,312,263107,57817521,4701124
445181203,312,153553,49983337,5060280
445181204,312,91516,29294707,2935072
445181301,70,34506,6826683,623301
445181302,70,118646,18913263,1356095
445191201,844,716322,130664377,9911085
445191202,844,1342061,253960901,17516043
445191203,844,738968,149344383,12194682
445191204,844,1943962,315418106,23170706
445191205,844,1296770,319383032,23241119
445191206,844,917751,172256280,13773791
445191301,456,424913,89627678,6125823
445191302,456,510669,102704050,8240825
445201101,1801,3357385,1910479322,203627802
445201102,1801,2179757,2620688530,249562728
445201201,1072,299768,480779606,42618921
445201202,1072,1150624,559523272,49682640
445201203,1072,1059786,344803807,27635947
445201204,1072,372439,168154684,16423676
445201301,557,370805,90099868,6115235
445201302,557,337740,106156749,9085789
445211101,276,454894,197229278,18673843
445211102,276,350218,86002262,9216597
445211201,370,941964,144270300,13671750
445211202,370,738395,247827532,21642293
445211203,370,837302,126942219,11841784
445211204,370,362656,141636502,13324895
445211301,238,422676,58282040,4841538
445211302,238,402549,58184168,4860576
445221101,104,217712,78539199,7099284
445221102,104,87085,37211979,3751851
445221201,352,415055,132889984,10127001
445221202,352,701026,142763684,11458707
445221203,352,626057,101773847,8272719
445221204,352,674712,141529710,12569116
445221301,76,87809,12074649,922259
445221302,76,122912,14902598,1166619
445231101,426,630355,320792200,30144399
445231201,1066,1703832,386702054,33364254
445231202,1066,1577399,315403229,23923818
445231301,1046,1307834,194048870,14207591
445232101,542,1609136,707042135,72246804
445232201,1938,3294898,856129332,71666204
445232202,1938,0,213833055,12966272
445232301,1085,1986134,291213879,21916803
445241101,1060,980666,394277640,36160195
445241102,1060,2076616,413901352,36346826
445241201,1179,1607337,394558810,32056396
445241202,1179,4230711,555797506,44323265
445241203,1179,2348545,324506094,24367080
445241204,1179,892780,315099122,34671252
445241301,504,772330,62637972,4011559
445241302,504,1280817,138266713,9388663
445251101,2080,1380900,747656001,73717066
445251102,2080,2849942,942278501,74678540
445251201,4184,3676220,1469055215,106775641
445251202,4184,16135179,4077133603,230771598
445251203,4184,3303870,1631513079,111876446
445251204,4184,11347818,4146401271,286238627
445251301,2032,1374610,641979840,46927078
445251302,2032,4591600,884324402,68895150
445261101,234,172234,135669047,13927059
445261102,234,301410,107999077,9079078
445261201,645,251398,109201900,9289652
445261202,645,1566683,234715260,18311457
445261203,645,282367,70789824,6156469
445261204,645,590239,124344848,10620289
445261301,1114,541216,127887064,10707852
445261302,1114,465698,188691175,16150290
445271101,646,0,111230041,9787136
445271102,646,0,93439901,7827172
445271103,646,0,87134146,7386881
445271104,646,0,91454496,7692277
445271105,646,0,95417850,7562322
445271106,646,0,82860723,6686197
445271107,646,0,91135217,7833153
445271108,646,0,91809298,7522007
445281101,147,234622,142959458,12145751
445281102,147,224241,89687990,8080883
445281201,864,697746,247629389,21943841
445281202,864,927076,373187209,31413326
445281203,864,908778,417283657,33988984
445281204,864,1787060,446650020,35916691
445281301,827,805871,162981754,13477675
445281302,827,350379,79124986,9415002
445291101,276,687905,375668814,42192605
445291102,276,489688,197411550,19349734
445291201,648,783628,154697211,8946199
445291202,648,511738,151562539,13703616
445291203,648,701237,151616221,10981473
445291204,648,1034462,190786421,15543444
445291301,563,483600,43705205,2236193
445291302,563,1984509,318512878,25354498
445301101,742,0,130368977,8742507
445301102,742,0,148378837,11501916
445301103,742,0,163918335,12199614
445301104,742,0,219284851,16864917
445301201,795,1118408,290534418,22251424
445301202,795,1217223,291397980,22961386
445301203,795,1021839,290318528,23425249
445301204,795,1249787,311961534,24106686
445311101,74,0,16662384,1396790
445311102,74,69971,34545353,3486658
445311103,74,105269,32596291,3457902
445311104,74,98105,39049902,3697074
445311201,1893,0,147430265,8659365
445311202,1893,3405720,766164531,75596412
445311203,1893,0,129640723,7194028
445311204,1893,0,148895059,8790215
445321101,270,537105,144888011,13993704
445321102,270,362004,115743546,11070867
445321201,214,288873,58174571,4391286
445321202,214,386072,77135870,5893776
445321203,214,269796,57086930,4032188
445321204,214,71461,18042780,1617452
445321301,202,358301,52333385,3547140
445321302,202,358301,43677572,3269351
445331101,1632,673096,412209698,36860312
445331102,1632,1198664,929776942,83325446
445331103,1632,1210189,680944512,62038491
445331104,1632,1756503,926732253,83327998
445331201,1360,1534827,634448740,43369899
445331202,1360,889393,346544830,25000781
445331203,1360,2962082,706918916,57493129
445331204,1360,1788391,550128873,41406633
445341101,2465,0,649367149,53752687
445341102,2465,5397306,2518977087,221602527
445341103,2465,4070613,1805734851,138860443
445341104,2465,2423564,2416580121,224745321
445341201,172,290440,88238136,7046256
445341202,172,272273,68102136,5469576
445341203,172,268155,69186695,4865398
445341204,172,181677,49254916,3591745
445351101,531,371431,235269908,25352987
445351102,531,847913,398888857,29916705
445351201,244,234029,82228656,5403389
445351202,244,396261,129193706,9611605
445351203,244,122882,75525905,6145589
445351204,244,550554,140949403,9553057
445351301,64,128763,26811813,1872637
445351302,64,75367,29026142,2432132
445361101,112,186512,60369911,5100312
445361102,112,283485,82168535,6818143
445361201,486,584772,102509582,7427283
