,FILING_SEQ_NO,ASSESSMENT_YEAR,FORM_ID,GENDER,RES_STATUS,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,LTCG_INDEXATION,ST_CG_AMT_APPRATE,LTCG_NO_INDEXATION,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,WIN_LOT_PUZ,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,REBATE,BALANCE_TAX_PAYABLE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,AGE,EDUCATION_CESS_115JC,AGEGRP
10,299001469,2017,ITR-1,M,RES,702532.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2589,705121,0,0,0,705121,0,0,0,0,74693,630430,0,0,0,0,0,0,0,0,51086,0,0,51086,0,51086,0,0,0,0,0,1533,52619,52619,0,0,0,0,0,0,52619,0,0,0,0,52619,0,52620,0,0,52620,0,0,35,0,0
11,321019025,2017,ITR-1,M,RES,362397.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362397,0,0,0,362397,0,0,0,0,46909,315490,0,0,0,0,0,0,0,0,6549,0,0,6549,5000,1549,0,0,0,0,0,46,1595,1595,0,0,0,0,0,0,1595,0,0,0,0,1595,0,3208,0,0,3208,0,1610,32,0,0
12,337635044,2017,ITR-1,M,RES,438927.1,-137601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301326,0,0,0,301326,0,0,0,0,46959,254370,0,0,0,0,0,0,0,0,437,0,0,437,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
13,294004415,2017,ITR-1,M,RES,262080.1,-45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24845,241925,0,0,0,241925,0,0,0,0,0,241930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,0,0,2485,0,2490,30,0,0
14,325770672,2017,ITR-1,F,RES,0.1,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157782,241782,0,0,0,241782,0,0,0,0,5970,235810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3099,0,0,3099,0,3100,43,0,0
15,284730712,2017,ITR-1,M,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485686,485686,0,0,0,485686,0,0,0,0,154500,331190,0,0,0,0,0,0,0,0,8119,0,0,8119,5000,3119,0,0,0,0,0,94,3213,3213,0,0,0,0,0,0,3213,0,0,0,0,3213,0,52224,0,0,52224,0,49010,35,0,0
16,329352035,2017,ITR-1,F,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467782,467782,0,0,0,467782,0,0,0,0,6966,460820,0,0,0,0,0,0,0,0,16082,0,0,16082,5000,11082,0,0,0,0,0,332,11414,11414,0,0,0,0,0,0,11414,0,0,0,0,11414,0,30193,0,0,30193,0,18780,79,0,1
17,275635940,2017,ITR-1,F,RES,414320.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19506,433826,0,0,0,433826,0,0,0,0,159036,274790,0,0,0,0,0,0,0,0,2479,0,0,2479,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,1047,0,1050,46,0,0
18,275246191,2017,ITR-1,F,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240150,240150,0,0,0,240150,0,0,0,0,0,240150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
19,269765558,2017,ITR-1,M,RES,501062.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3906,504968,0,0,0,504968,0,0,0,0,162675,342290,0,0,0,0,0,0,0,0,9229,0,0,9229,5000,4229,0,0,0,0,0,127,4356,4356,0,0,0,0,0,0,4356,0,0,0,0,4356,0,14841,0,0,14841,0,10490,55,0,0
