FILING_SEQ_NO,AGE,AGEGRP,FORM_ID,ASSESSMENT_YEAR,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,position,decile_group
273359656,37,0,ITR-1,2017,1473186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473186,0,0,0,1473186,0,0,0,0,156200,1316990,0,0,0,0,0,0,0,0,220097,0,0,220097,0,220097,0,0,0,6603,226700,226700,0,0,0,0,0,0,226700,0,0,0,0,226700,0,226700,0,0,226700,0,0,207890,10
305374071,23,0,ITR-4,2017,0,0,0,0,0,0,290000,0,0,0,0,0,0,0,0,0,0,0,0,290000,0,0,0,290000,0,0,0,0,0,290000,0,0,0,0,0,0,0,0,4000,0,0,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17323,0,0,17323,0,17320,19278,3
337082907,33,0,ITR-1,2017,438918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438918,0,0,0,438918,0,0,0,0,35987,402930,0,0,0,0,0,0,0,0,15293,0,0,15293,5000,10293,0,0,0,309,10602,10602,0,0,0,0,0,0,10602,0,0,0,0,10602,0,10602,0,0,10602,0,0,74129,6
290079822,45,0,ITR-3,2017,52166359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52166359,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247903,11
287642643,52,0,ITR-1,2017,1082959,-51568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91604,1122995,0,0,0,1122995,0,0,0,0,175000,948000,0,0,0,0,0,0,0,0,114600,0,0,114600,0,114600,0,0,0,3438,118038,118038,0,0,0,0,0,0,118038,0,0,0,0,118038,0,130295,0,0,130295,0,12260,181357,10
309651873,47,0,ITR-3,2017,0,0,597280,0,0,0,597280,0,0,0,0,0,0,0,0,0,0,0,0,597280,0,597280,0,597280,0,0,44400,0,44400,552880,0,0,552880,0,0,0,0,0,35576,0,0,35576,0,35576,0,0,0,1067,36643,36643,0,36643,0,0,0,0,36643,0,812,1842,2654,39297,25000,0,0,14297,39297,0,0,111475,8
284204743,28,0,ITR-1,2017,969128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33717,1002845,0,0,0,1002845,0,0,0,0,152506,850340,0,0,0,0,0,0,0,0,95068,0,0,95068,0,95068,0,0,0,2852,97920,97920,0,0,0,0,0,0,97920,0,0,0,0,97920,0,94614,0,3310,97924,0,0,164992,10
273495834,26,0,ITR-4,2017,0,0,0,0,0,0,270000,0,0,0,0,0,0,0,0,0,0,0,5225,275225,0,0,0,275225,0,0,0,0,5225,270000,0,0,0,0,0,0,0,0,2000,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13806,2
287070088,45,0,ITR-1,2017,2374928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374928,0,0,0,2374928,0,0,0,0,150000,2224930,0,0,0,0,0,0,0,0,492479,0,0,492479,0,492479,0,0,0,14774,507253,507253,0,0,0,0,0,0,507253,0,0,0,0,507253,0,507257,0,0,507257,0,0,230876,10
280018210,48,0,ITR-1,2017,863400,-200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663400,0,0,0,663400,0,0,0,0,150000,513400,0,0,0,0,0,0,0,0,27680,0,0,27680,0,27680,0,0,0,830,28510,28510,0,0,0,0,0,0,28510,0,0,0,0,28510,0,36370,0,0,36370,0,7860,123117,8
