WT2017,WT2018,WT2019
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
600000,660000,726000
