YEAR,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_INCOME_OS,CYL_SET_OFF,TOTAL_DEDUC_VIA,DEDUCT_SEC_10A_OR_10AA,NET_AGRC_INCOME,AGGREGATE_LIABILTY,BFL_SET_OFF_BALANCE,INVESTMENT
2017,0.9342276791836465,3.4124162313643036,0.7561636925405133,0.0,3.5624853053854353,0.0,1.0,0.0,15.397111246865224,2.063620098264062,1.3220071008068215,24.71745061326615,1.0,0.6043156580262851,1.1419374265124176,6.767600850681271,0.6954653138065525
2018,0.6699116208919853,1.933171091828895,1.0,1.0,4.462354283198415,1.0,0.03214867890311507,0.0,10.997094525087283,3.3315941055865306,5.2114247458782375,2.6166483197448827,9.778070261677314,0.749439303780669,0.7241495011530534,1.341629908121381,0.5207895693017384
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.499020982861607,1.0,1.0,1.0,1.0,0.6595661500673476
2020,0.9507317765116428,1.8596249087638554,38.276623501199055,1.0,1.0,1.0,1.0,1.0,1.0,1.584316066565024,0.57345061037746,2.36942256347798,1.0,1.7909605241312372,0.6234138455819457,4.350895020135963,0.6595661500673476
2021,1.1475230006249997,1.4641000000000004,1.4641000000000006,1.0,1.4641000000000004,1.0,1.4641000000000004,1.0,1.4641000000000004,1.2864663506249996,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,1.1475230006249997,1.4641000000000004,1.4641000000000006,1.0,1.4641000000000004,1.0,1.4641000000000004,1.0,1.4641000000000004,1.2864663506249996,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.1475230006249997,1.4641000000000004,1.4641000000000006,1.0,1.4641000000000004,1.0,1.4641000000000004,1.0,1.4641000000000004,1.2864663506249996,1.0,1.0,1.0,1.0,1.0,1.0,1.0
